channelId,channel_title,country,subscribers,video_count,view_count,topic_categories,topic_categories_str,channel_keywords,videos_found_in_queries,relevance_score
UC9hWb5udOw3D6di5bKeWMYw,viniciusinthernet,BR,576000,154,95174512,"['Entertainment', 'Humour', 'Lifestyle (sociology)']",Entertainment | Humour | Lifestyle (sociology),viniciusinthernet,1,0.0065
UCaKEqmX7HJGIf75b4VJVGDA,Renata Ellera Gomes,,792,88,101651,"['Knowledge', 'Lifestyle (sociology)']",Knowledge | Lifestyle (sociology),,1,0.0114
UCSpUAJw93VIHVn8k-JP8NTQ,Sedutor Afro (Gabriel Amorim),BR,118000,810,12821599,"['Health', 'Lifestyle (sociology)']",Health | Lifestyle (sociology),"relacionamentos ""desenvolvimento masculino"" ""desenvolvimento pessoal"" sedução atração ""inteligência emocional"" autoconfiança ""red pill"" confiança vsm ""valor sexual de mercado"" ""sedutor afro"" comunicação ""como conquistar mulheres"" ""dicas de sedução"" ""dicas de conquista"" ""como ser confiante"" ""como atrair uma mulher"" ""como seduzir mulheres"" ""como salvar o relacionamento"" ""como aumentar autoestima""",7,0.0086
UC3aZ_QhGp7zUiUctPF9lw9g,2pCast Oficial,BR,8300,265,1044536,"['Society', 'Lifestyle (sociology)', 'Knowledge']",Society | Lifestyle (sociology) | Knowledge,"comunicação ""comunicação assertiva"" ""futuro do mercado"" histórias ""inteligência emocional"" podcast ""papo podcast"" 2pcast 2pcastoficial ""Michelle Castro"" ""podcast Michelle Castro"" ""podcast 2pcast"" relacionamentos ""podcast de relacionamento"" ""podcast de comunicação""",1,0.0038
UC6wAyZ8dgsaJgaReKDwtf5Q,No Fugazee Clips,US,16400,138,6255710,['Society'],Society,"#Dating #Men #Women #redpill #Feminism #Feminist #Feminists #manosphere #relationships #viral #menspodcast #relationshiptips #relationshipgoals #redpilled #datingpodcast #nofugazee #nofugazeepodcast #masculinity #sex #Zherka #FreshandFit #Destiny #Whatever ""#Andrew Tate"" #Podcast #Clips #Sneako #onlyfans #longformcontent #opendiscussion #entertaininginformation #tristantate #tatespeech #tatebrothers #debate #debatepodcast",1,0.0072
UClqQr4H1HadkCaK_ZrlmQ2Q,Neon,BR,822000,173,71651184,['Society'],Society,"discord ""discord mod"" ""servidor do discord"" ""discord nitro"" minecraft ""league of legends"" roblox fortnite adm gta servidor ""among us"" beluga hecker neon ""neon discord""",1,0.0058
UCPwNU3y2cKEhxTbV3RFsOug,Mano Bíblico,BR,176000,96,6861329,"['Society', 'Religion']",Society | Religion,"CRISTÃO cristãos cristão cristianismo igreja cristã Jesus Deus verdade ""Nando Moura"" salvação redenção arrependimento ""Espírito santo"" ""Ser cristão"" Crente Crentes",1,0.0104
UCjt5Mt-yVu_R8LfuiLcd5KA,Podcast Café com Ferri,BR,7130000,1320,168486498,"['Society', 'Politics']",Society | Politics,"""podcast café com ferri"" ""café com ferri"" ""rafael ferri"" ""melhor podcast do brasil"" ""libertada de expressão"" entretenimento ""podcast brasil"" ""cortes podcast""",4,0.003
UC18wvecVYTQMfJsOU7R8UJA,Filosofia Infinita,BR,178000,374,12788152,"['Politics', 'Society']",Politics | Society,"filosofia ""cultura e sociedade""",1,0.0027
UCWtnmIrNBDuBefw39titbQg,Planob,,138000,48,59247,"['Lifestyle (sociology)', 'Society']",Lifestyle (sociology) | Society,"""Vlog diário"" ""viagem internacional"" ""diário de bordo"" ""Música clássica""",1,0.0208
UCRu0Gg2JFPc5egrdDASVYkQ,Women on Men with Rafael Gomez,,1490,394,627445,['Entertainment'],Entertainment,,1,0.0025
UC-JjVKGRB1O2arWOC__4IIg,VISÃO DE NEGÃO,,440,145,107775,['Lifestyle (sociology)'],Lifestyle (sociology),,1,0.0069
UClqw5bFCDcxPmgHb8yMfP3w,Sem Groselha Podcast,BR,444000,378,23458288,"['Lifestyle (sociology)', 'Knowledge', 'Society', 'Health']",Lifestyle (sociology) | Knowledge | Society | Health,"podcast floripa talkshow ""sem groselha"" floripapodcast flow podcast ""ouvir podcast"" ""melhor podcast"" ""podcast brasileiro"" ""podcast em portugues"" podpah ""flow podcast"" ""cortes podcast"" ""cortes flow"" ""cortes podpah"" florianópolis ""eslen delanogare"" ""bianca lauri"" ""fe alves"" ""podcast eslen"" ""padrinho podcast"" ""eslen sem groselha"" ""bianca lauri sem groselha"" ""fe alves sem groselha"" ""cortes do sem groselha"" ""cortes do sem groselha podcast"" ""podcast sobre sedução"" ""podcast sobre neurociencia""",1,0.0026
UC-AQKm7HUNMmxjdS371MSwg,Channel 5 with Andrew Callaghan,US,3530000,405,547733614,"['Entertainment', 'Society', 'Politics']",Entertainment | Society | Politics,,1,0.0025
UC2IfVRihAWEHuZS56unh3uw,Samuel Baum,BR,256000,116,20330211,"['Society', 'Lifestyle (sociology)']",Society | Lifestyle (sociology),"Documentário Educação ""Samuel Baum"" Opinião Economia Críticas Sociedade Golpes Farsas Farsa",1,0.0086
UCbn-pguPz8prFchjqGMffMw,"NEGÓCIOS, RESENHA & VERDADES PODCAST",,1110,354,218971,"['Lifestyle (sociology)', 'Knowledge']",Lifestyle (sociology) | Knowledge,,1,0.0028
